week_date,candidate,params,changed,gate_checks
2022-01-05,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-01-12,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-01-19,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-01-26,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-02-02,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-02-09,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-02-16,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-02-23,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-03-02,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-03-09,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-03-16,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-03-23,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
2022-03-30,incumbent,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 50, ""subsample"": 0.8}",{},
