Ticker,sector
A,Health Care
AAL,Industrials
AAPL,Information Technology
ABBV,Health Care
ABNB,Consumer Discretionary
ABT,Health Care
ACGL,Financials
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADP,Industrials
AEE,Utilities
AEP,Utilities
AES,Utilities
AFL,Financials
AIG,Financials
AIZ,Financials
AJG,Financials
AKAM,Information Technology
ALB,Materials
ALGN,Health Care
ALL,Financials
ALLE,Industrials
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMGN,Health Care
AMP,Financials
AMT,Real Estate
AMZN,Consumer Discretionary
ANET,Information Technology
APA,Energy
APD,Materials
APH,Information Technology
APP,Communication Services
APTV,Consumer Discretionary
ARE,Real Estate
ARES,Financials
ARM,Information Technology
ATO,Utilities
AVB,Real Estate
AVGO,Information Technology
AVY,Materials
AWK,Utilities
AXON,Industrials
AXP,Financials
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BALL,Materials
BAX,Health Care
BBWI,Consumer Discretionary
BBY,Consumer Discretionary
BEN,Financials
BG,Consumer Staples
BIIB,Health Care
BIO,Health Care
BK,Financials
BKNG,Consumer Discretionary
BKR,Energy
BLDR,Industrials
BLK,Financials
BMY,Health Care
BR,Industrials
BRK-B,Financials
BRO,Financials
BSX,Health Care
BWA,Consumer Discretionary
BX,Financials
C,Financials
CAG,Consumer Staples
CAH,Health Care
CARR,Industrials
CAT,Industrials
CB,Financials
CBOE,Financials
CBRE,Real Estate
CCI,Real Estate
CCL,Consumer Discretionary
CDNS,Information Technology
CDW,Information Technology
CE,Materials
CEG,Utilities
CF,Materials
CHRW,Industrials
CHTR,Communication Services
CI,Health Care
CINF,Financials
CL,Consumer Staples
CLX,Consumer Staples
CMCSA,Communication Services
CME,Financials
CMG,Consumer Discretionary
CMI,Industrials
CNC,Health Care
CNP,Utilities
COF,Financials
COIN,Financials
COO,Health Care
COP,Energy
COST,Consumer Staples
CPAY,Financials
CPB,Consumer Staples
CPRT,Industrials
CPT,Real Estate
CRH,Materials
CRL,Health Care
CRM,Information Technology
CRWD,Information Technology
CSCO,Information Technology
CSGP,Real Estate
CTAS,Industrials
CTRA,Energy
CTSH,Information Technology
CTVA,Materials
CVS,Health Care
CVX,Energy
CZR,Consumer Discretionary
D,Utilities
DAL,Industrials
DASH,Consumer Discretionary
DAY,Information Technology
DD,Industrials
DDOG,Information Technology
DE,Industrials
DECK,Consumer Discretionary
DELL,Information Technology
DG,Consumer Staples
DHI,Consumer Discretionary
DHR,Health Care
DIS,Communication Services
DLR,Real Estate
DLTR,Consumer Staples
DOC,Real Estate
DOV,Industrials
DOW,Materials
DPZ,Consumer Discretionary
DRI,Consumer Discretionary
DTE,Utilities
DUK,Utilities
DVA,Health Care
DVN,Energy
DXCM,Health Care
EBAY,Consumer Discretionary
ECL,Materials
ED,Utilities
EFX,Industrials
EIX,Utilities
EL,Consumer Staples
EME,Industrials
EMN,Materials
EMR,Industrials
ENPH,Information Technology
EOG,Energy
EPAM,Information Technology
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financials
ES,Utilities
ESS,Real Estate
ETN,Industrials
ETSY,Consumer Discretionary
EVRG,Utilities
EW,Health Care
EXC,Utilities
EXPD,Industrials
EXPE,Consumer Discretionary
EXR,Real Estate
F,Consumer Discretionary
FANG,Energy
FAST,Industrials
FCX,Materials
FDS,Financials
FDX,Industrials
FE,Utilities
FFIV,Information Technology
FICO,Information Technology
FIS,Financials
FITB,Financials
FMC,Materials
FOX,Communication Services
FOXA,Communication Services
FRT,Real Estate
FSLR,Information Technology
FTNT,Information Technology
FTV,Industrials
GD,Industrials
GDDY,Information Technology
GE,Industrials
GEHC,Health Care
GEN,Information Technology
GILD,Health Care
GIS,Consumer Staples
GL,Financials
GLW,Information Technology
GM,Consumer Discretionary
GNRC,Industrials
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Discretionary
GPN,Financials
GRMN,Consumer Discretionary
GS,Financials
GWW,Industrials
HAL,Energy
HAS,Consumer Discretionary
HBAN,Financials
HCA,Health Care
HD,Consumer Discretionary
HIG,Financials
HII,Industrials
HLT,Consumer Discretionary
HOLX,Health Care
HON,Industrials
HOOD,Financials
HPE,Information Technology
HPQ,Information Technology
HRL,Consumer Staples
HSIC,Health Care
HST,Real Estate
HSY,Consumer Staples
HUBB,Industrials
HUM,Health Care
HWM,Industrials
IBM,Information Technology
ICE,Financials
IDXX,Health Care
IFF,Materials
ILMN,Health Care
INCY,Health Care
INTC,Information Technology
INTU,Information Technology
INVH,Real Estate
IP,Materials
IQV,Health Care
IR,Industrials
IRM,Real Estate
ISRG,Health Care
IT,Information Technology
ITW,Industrials
IVZ,Financials
J,Industrials
JBHT,Industrials
JCI,Industrials
JKHY,Financials
JNJ,Health Care
JPM,Financials
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KHC,Consumer Staples
KIM,Real Estate
KKR,Financials
KLAC,Information Technology
KMI,Energy
KO,Consumer Staples
KR,Consumer Staples
KVUE,Consumer Staples
L,Financials
LDOS,Industrials
LEN,Consumer Discretionary
LHX,Industrials
LII,Industrials
LIN,Materials
LLY,Health Care
LMT,Industrials
LNT,Utilities
LOW,Consumer Discretionary
LRCX,Information Technology
LULU,Consumer Discretionary
LUV,Industrials
LYB,Materials
LYV,Communication Services
MA,Financials
MAA,Real Estate
MAR,Consumer Discretionary
MAS,Industrials
MCD,Consumer Discretionary
MCHP,Information Technology
MCK,Health Care
MCO,Financials
MDLZ,Consumer Staples
MDT,Health Care
META,Communication Services
MGM,Consumer Discretionary
MHK,Consumer Discretionary
MKC,Consumer Staples
MKTX,Financials
MLM,Materials
MMM,Industrials
MNST,Consumer Staples
MO,Consumer Staples
MOH,Health Care
MPC,Energy
MPWR,Information Technology
MRK,Health Care
MS,Financials
MSCI,Financials
MSFT,Information Technology
MSI,Information Technology
MSTR,Information Technology
MTB,Financials
MTCH,Communication Services
MTD,Health Care
MU,Information Technology
NCLH,Consumer Discretionary
NDAQ,Financials
NEE,Utilities
NEM,Materials
NET,Information Technology
NFLX,Communication Services
NI,Utilities
NKE,Consumer Discretionary
NOC,Industrials
NOW,Information Technology
NRG,Utilities
NSC,Industrials
NTAP,Information Technology
NTRS,Financials
NUE,Materials
NVDA,Information Technology
NWS,Communication Services
NWSA,Communication Services
NXPI,Information Technology
O,Real Estate
ODFL,Industrials
OKE,Energy
ON,Information Technology
ORCL,Information Technology
ORLY,Consumer Discretionary
OTIS,Industrials
PANW,Information Technology
PAYC,Information Technology
PAYX,Industrials
PCAR,Industrials
PEG,Utilities
PEP,Consumer Staples
PFE,Health Care
PFG,Financials
PG,Consumer Staples
PGR,Financials
PH,Industrials
PHM,Consumer Discretionary
PKG,Materials
PLD,Real Estate
PLTR,Information Technology
PM,Consumer Staples
PNC,Financials
PNR,Industrials
PODD,Health Care
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PSA,Real Estate
PSX,Energy
PWR,Industrials
PYPL,Financials
QCOM,Information Technology
RCL,Consumer Discretionary
REG,Real Estate
REGN,Health Care
RF,Financials
RHI,Industrials
RJF,Financials
RKT,Financials
RL,Consumer Discretionary
RMD,Health Care
ROK,Industrials
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RSG,Industrials
RTX,Industrials
RVTY,Health Care
SBAC,Real Estate
SBUX,Consumer Discretionary
SCHW,Financials
SEE,Materials
SHW,Materials
SJM,Consumer Staples
SLB,Energy
SMCI,Information Technology
SNA,Industrials
SNPS,Information Technology
SO,Utilities
SPG,Real Estate
SPGI,Financials
SPOT,Communication Services
SRE,Utilities
STE,Health Care
STLD,Materials
STT,Financials
STX,Information Technology
STZ,Consumer Staples
SW,Materials
SWK,Industrials
SWKS,Information Technology
SYK,Health Care
SYY,Consumer Staples
T,Communication Services
TAP,Consumer Staples
TDG,Industrials
TDY,Information Technology
TECH,Health Care
TEL,Information Technology
TER,Information Technology
TFC,Financials
TGT,Consumer Staples
TJX,Consumer Discretionary
TMO,Health Care
TMUS,Communication Services
TPL,Energy
TPR,Consumer Discretionary
TRGP,Energy
TRMB,Information Technology
TROW,Financials
TRV,Financials
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
TT,Industrials
TTD,Communication Services
TTWO,Communication Services
TXN,Information Technology
TXT,Industrials
TYL,Information Technology
UAL,Industrials
UBER,Industrials
UDR,Real Estate
ULTA,Consumer Discretionary
UNH,Health Care
UNP,Industrials
UPS,Industrials
USB,Financials
V,Financials
VFC,Consumer Discretionary
VICI,Real Estate
VLO,Energy
VLTO,Industrials
VMC,Materials
VRSK,Industrials
